FSU_Slno,hh_no,mpce,hh_size,social_group,religion,Stratum,visitNo,educ_head,age_head,gender_head,total_land,land_used_agri,num_land_parcels,received_tech_advice,MLT,final_weight,mpce_per_capita,log_mpce,land_size_cat,educ_level,social_group_f,tech_advice_f,gender_f,land_size_f
72227,01,7500,4,9,2,05,2,1,61,1,3.24,3.11,9,1,139500,1395,1875,7.536363938404511,Small (1-4 acres),Illiterate,Others,Yes,Male,Small (1-4 acres)
72227,02,9000,4,1,2,05,2,1,64,1,3.64,3.46,10,1,139500,1395,2250,7.718685495198466,Small (1-4 acres),Illiterate,ST,Yes,Male,Small (1-4 acres)
72227,03,13500,4,9,2,05,2,3,40,1,1.44,1.4,3,1,403000,4030,3375,8.12415060330663,Small (1-4 acres),Primary,Others,Yes,Male,Small (1-4 acres)
72227,04,6000,3,9,2,05,2,1,64,1,1.5,1.48,3,1,403000,4030,2000,7.600902459542082,Small (1-4 acres),Illiterate,Others,Yes,Male,Small (1-4 acres)
72227,05,10000,6,9,2,05,2,2,42,1,1.54,1.52,3,1,403000,4030,1666.6666666666667,7.418580902748128,Small (1-4 acres),Below Primary,Others,Yes,Male,Small (1-4 acres)
72227,06,10000,7,9,2,05,2,1,50,1,2.06,2.0300000000000002,3,1,403000,4030,1428.5714285714287,7.264430222920869,Small (1-4 acres),Illiterate,Others,Yes,Male,Small (1-4 acres)
72223,01,9000,6,1,2,05,2,1,40,1,22.3,22.14,15,0,390150,3901.5,1500,7.313220387090301,Medium/Large (>4 acres),Illiterate,ST,No,Male,Medium/Large (>4 acres)
72223,02,12000,3,1,2,05,2,2,36,2,9.18,9.01,12,0,390150,3901.5,4000,8.294049640102028,Medium/Large (>4 acres),Below Primary,ST,No,Female,Medium/Large (>4 acres)
72223,03,10000,4,1,2,05,2,4,54,1,8.9,8.8,3,0,38533,385.33,2500,7.824046010856292,Medium/Large (>4 acres),Middle,ST,No,Male,Medium/Large (>4 acres)
72221,01,6567,1,1,2,06,2,6,22,2,3.6799999999999997,3.61,8,1,58000,580,6567,8.789812386190972,Small (1-4 acres),Higher Secondary,ST,Yes,Female,Small (1-4 acres)
72221,02,8417,4,2,2,06,2,5,35,1,5.5200000000000005,5.45,8,0,58000,580,2104.25,7.651714388091685,Medium/Large (>4 acres),Secondary,SC,No,Male,Medium/Large (>4 acres)
